,id,name,zone,line_name,opened,nightopened,closed,geometry
645,910GHOMRTON,Homerton,2,London Overground,2007.0,,,POINT (-0.042503688741728 51.547069996784195)
646,910GHONROPK,Honor Oak Park,3,London Overground,2010.0,,,POINT (-0.045361288788121 51.450013196725266)
648,910GHOXTON,Hoxton,1/2,London Overground,2010.0,2017.0,,POINT (-0.075625088761269 51.531469996775556)
649,910GHRGYGL,Harringay Green Lanes,3,London Overground,2007.0,,,POINT (-0.097820988748259 51.57724229680412)
652,910GHTCHEND,Hatch End,6,London Overground,2007.0,,,POINT (-0.368613288836501 51.60946399683011)
657,910GKENR,Kensal Rise,2,London Overground,2007.0,,,POINT (-0.220225588814095 51.53440809678075)
660,910GKLBRNHR,Kilburn High Road,2,London Overground,2007.0,,,POINT (-0.191495088801738 51.537665796782115)
663,910GKNTSHTW,Kentish Town West,2,London Overground,2007.0,,,POINT (-0.146750388780558 51.54707549678687)
666,910GLEYTNMR,Leyton Midland Road,3,London Overground,2007.0,,,POINT (-0.007268088718236 51.56953219679692)
667,910GLIVST,Liverpool Street,1,London Overground,2015.0,,,POINT (-0.0807 51.5181)
670,910GLONFLDS,London Fields,2,London Overground,2015.0,,,POINT (-0.057854888750166 51.54115719678102)
671,910GLYTNSHR,Leytonstone High Road,3,London Overground,2007.0,,,POINT (0.007712211284655 51.56390009679304)
686,910GNEWXGTE,New Cross Gate,2,London Overground,2010.0,2017.0,,POINT (-0.040266988774352 51.47543279674057)
692,910GNORWDJ,Norwood Junction,4,London Overground,2010.0,,,POINT (-0.074624788823633 51.39715339669399)
697,910GNWCRELL,New Cross,2,London Overground,2010.0,,,POINT (-0.032341188770877 51.47663109674108)
701,910GPCKHMQD,Queens Road Peckham,2,London Overground,2012.0,,,POINT (-0.056991888781153 51.47406129674014)
703,910GPCKHMRY,Peckham Rye,2,London Overground,2012.0,,,POINT (-0.07038638878825 51.469449496737674)
705,910GPENEW,Penge West,4,London Overground,2010.0,,,POINT (-0.060636388808971 51.41747759670595)
711,910GRCTRYRD,Rectory Road,2,London Overground,2015.0,,,POINT (-0.068444588745959 51.55863849679196)
714,910GROMFORD,Romford,6,London Overground,2015.0,,,POINT (0.183417211353764 51.574910396793776)
718,910GRTHERHI,Rotherhithe,2,London Overground,2010.0,2017.0,,POINT (-0.05212158876676 51.50102909675642)
720,910GSACTON,South Acton,3,London Overground,2007.0,,,POINT (-0.270096588849068 51.4995730967604)
721,910GSBURY,Southbury,5,London Overground,2015.0,,,POINT (-0.052530888698232 51.64865679684671)
722,910GSEVNSIS,Seven Sisters,3,London Overground,2015.0,,,POINT (-0.07508 51.5832)
724,910GSHADWEL,Shadwell,2,London Overground,2010.0,2017.0,,POINT (-0.05687 51.5113)
731,910GSHMPSTD,South Hampstead,2,London Overground,2007.0,,,POINT (-0.178824488795266 51.541341496784085)
732,910GSHRDHST,Shoreditch High Street,1,London Overground,2010.0,2017.0,,POINT (-0.076071088765243 51.52328889677059)
733,910GSIVRST,Silver Street,4,London Overground,2015.0,,,POINT (-0.067203988719379 51.61486059682638)
736,910GSTFD,Stratford,2/3,London Overground,2007.0,,,POINT (-0.003910894500122 51.54236973531719)
743,910GSTJMSST,St James Street,3,London Overground,2015.0,,,POINT (-0.032809788722342 51.58098069680466)
744,910GSTKNWNG,Stoke Newington,2,London Overground,2015.0,,,POINT (-0.072714488744558 51.56506419679603)
747,910GSTMFDHL,Stamford Hill,3,London Overground,2015.0,,,POINT (-0.076681388741677 51.57443769680185)
748,910GSTOTNHM,South Tottenham,3,London Overground,2007.0,,,POINT (-0.071680788736998 51.580505896805434)
753,910GSURREYQ,Surrey Quays,2,London Overground,2010.0,2017.0,,POINT (-0.047622488768717 51.493282996751596)
757,910GSYDENHM,Sydenham,3,London Overground,2010.0,,,POINT (-0.054359189496939 51.42727754176605)
765,910GTHBLDSG,Theobalds Grove,7,London Overground,2015.0,,,POINT (-0.035651788671846 51.692003596872894)
770,910GTURKYST,Turkey Street,6,London Overground,2015.0,,,POINT (-0.047226288685127 51.672663196861315)
775,910GUPRHLWY,Upper Holloway,2,London Overground,2007.0,,,POINT (-0.129485388766418 51.563625396796574)
778,910GWAPPING,Wapping,2,London Overground,2010.0,2017.0,,POINT (-0.055899688766619 51.50432209675851)
780,910GWATFDHS,Watford High Street,8,London Overground,2007.0,,,POINT (-0.392159372343546 51.65230546262061)
782,910GWATFJDC,Watford Junction,10,London Overground,2007.0,,,POINT (-0.395965788822582 51.663458596864245)
785,910GWCHAPEL,Whitechapel,2,London Overground,2010.0,,,POINT (-0.06128 51.5205)
787,910GWCROYDN,West Croydon,5,London Overground,2010.0,,,POINT (-0.1023 51.3784239)
789,910GWDGRNPK,Woodgrange Park,3/4,London Overground,2007.0,,,POINT (0.044549017253541 51.54918351032264)
792,910GWDST,Wood Street,4,London Overground,2015.0,,,POINT (-0.002345788708442 51.58663199680723)
795,910GWHHRTLA,White Hart Lane,3,London Overground,2015.0,,,POINT (-0.070949188725593 51.604479796820094)
796,910GWHMDSTD,West Hampstead,2,London Overground,2007.0,,,POINT (-0.19203 51.5473)
797,910GWLTWCEN,Walthamstow Central,3,London Overground,2015.0,,,POINT (-0.020010059897524 51.58293033276775)
798,910GWLTHQRD,Walthamstow Queens Road,3,London Overground,2007.0,,,POINT (-0.02369608871872 51.581513596804726)
799,910GWNDSWRD,Wandsworth Road,2,London Overground,2012.0,,,POINT (-0.138179469161229 51.46968303029571)
801,910GWNSTDPK,Wanstead Park,3,London Overground,2007.0,,,POINT (0.026333811285793 51.55169999678506)
853,910GBKRVS,Barking Riverside,4,London Overground,2022.0,,,POINT (0.11599 51.51955)
