id,name,zone,line_name,opened,nightopened,closed,geometry
910GUHALIFD,Upper Halliford,X,Crossrail 2,2030.0,,,POINT (-0.43079 51.41321)
910GUPRHLWY,Upper Holloway,2,London Overground,2007.0,,,POINT (-0.129485388766418 51.563625396796574)
910GWALHAMX,Waltham Cross,7,National Rail,2030.0,,,POINT (-0.02643 51.68522)
910GWALHAMX,Waltham Cross,7,Crossrail 2,2030.0,,,POINT (-0.02643 51.68522)
910GWAPPING,Wapping,2,London Overground,2010.0,2017.0,,POINT (-0.055899688766619 51.50432209675851)
910GWAPPING,Wapping,2,East London,,,2007.0,POINT (-0.055899688766619 51.50432209675851)
910GWATFDHS,Watford High Street,8,London Overground,2007.0,,,POINT (-0.392159372343546 51.65230546262061)
910GWATFDHS,Watford High Street,8,Metropolitan,9999.0,,,POINT (-0.392159372343546 51.65230546262061)
910GWATFJDC,Watford Junction,10,London Overground,2007.0,,,POINT (-0.395965788822582 51.663458596864245)
910GWATFJDC,Watford Junction,10,National Rail,,,,POINT (-0.395965788822582 51.663458596864245)
910GWATFJDC,Watford Junction,10,Metropolitan,9999.0,,,POINT (-0.395965788822582 51.663458596864245)
910GWCHAPEL,Whitechapel,2,London Overground,2010.0,,,POINT (-0.06128 51.5205)
910GWCHAPEL,Whitechapel,2,Elizabeth line,2022.0,,,POINT (-0.06128 51.5205)
910GWCROYDN,West Croydon,5,London Overground,2010.0,,,POINT (-0.1023 51.3784239)
910GWCROYDN,West Croydon,5,National Rail,,,,POINT (-0.1023 51.3784239)
910GWDGRNPK,Woodgrange Park,3/4,London Overground,2007.0,,,POINT (0.044549017253541 51.54918351032264)
910GWDRYTON,West Drayton,6,Elizabeth line,2020.0,,,POINT (-0.471897288922074 51.5098128967703)
910GWDRYTON,West Drayton,6,National Rail,,,,POINT (-0.471897288922074 51.5098128967703)
910GWDST,Wood Street,4,London Overground,2015.0,,,POINT (-0.002345788708442 51.58663199680723)
910GWEALING,West Ealing,3,Elizabeth line,2018.0,,,POINT (-0.320472588861861 51.51351309676991)
910GWEALING,West Ealing,3,National Rail,,,,POINT (-0.320472588861861 51.51351309676991)
910GWHHRTLA,White Hart Lane,3,London Overground,2015.0,,,POINT (-0.070949188725593 51.604479796820094)
910GWHMDSTD,West Hampstead,2,London Overground,2007.0,,,POINT (-0.19203 51.5473)
910GWLTWCEN,Walthamstow Central,3,London Overground,2015.0,,,POINT (-0.020010059897524 51.58293033276775)
910GWLTHQRD,Walthamstow Queens Road,3,London Overground,2007.0,,,POINT (-0.02369608871872 51.581513596804726)
910GWNDSWRD,Wandsworth Road,2,London Overground,2012.0,,,POINT (-0.138179469161229 51.46968303029571)
910GWNDSWRD,Wandsworth Road,2,National Rail,,,,POINT (-0.138179469161229 51.46968303029571)
910GWNSTDPK,Wanstead Park,3,London Overground,2007.0,,,POINT (0.026333811285793 51.55169999678506)
910GWOLWXR,Woolwich,4,Elizabeth line,2022.0,,,POINT (0.070810011273918 51.49178999674734)
910GWRCSTRP,Worcester Park,4,National Rail,2030.0,,,POINT (-0.24496 51.38139)
